baseline,lang,lt,rar,le,seed,em_f1,precision,recall,tp,fp,fn,n_docs
encoder_crf,zh,0,0.0,0,42,0.2836,0.3425,0.2420,137,263,429,200
encoder_crf,zh,0,0.2,0,42,0.4759,0.4592,0.4938,281,331,288,200
encoder_crf,zh,0,0.4,0,42,0.5246,0.4976,0.5546,315,318,253,200
encoder_crf,zh,0,0.6,0,42,0.7808,0.7358,0.8316,479,172,97,200
encoder_crf,zh,0,0.8,0,42,0.6366,0.6130,0.6621,388,245,198,200
encoder_crf,zh,0,1.0,0,42,0.5039,0.4864,0.5228,321,339,293,200
encoder_crf,zh,1,0.0,1,42,0.3065,0.3436,0.2766,156,298,408,200
encoder_crf,zh,1,0.0,0,42,0.3612,0.4403,0.3062,188,239,426,200
encoder_crf,zh,1,0.2,1,42,0.4713,0.4545,0.4893,275,330,287,200
encoder_crf,zh,1,0.2,0,42,0.5876,0.5990,0.5765,354,237,260,200
encoder_crf,zh,1,0.4,1,42,0.5171,0.4935,0.5430,303,311,255,200
encoder_crf,zh,1,0.4,0,42,0.5976,0.5990,0.5961,366,245,248,200
encoder_crf,zh,1,0.6,1,42,0.8020,0.7585,0.8507,490,156,86,200
encoder_crf,zh,1,0.6,0,42,0.8717,0.8534,0.8909,547,94,67,200
encoder_crf,zh,1,0.8,1,42,0.5012,0.4811,0.5231,306,330,279,200
encoder_crf,zh,1,0.8,0,42,0.5048,0.4968,0.5130,315,319,299,200
encoder_crf,zh,1,1.0,1,42,0.1115,0.1761,0.0816,50,234,563,200
encoder_crf,zh,1,1.0,0,42,0.1133,0.1783,0.0831,51,235,563,200
encoder_crf,zh,2,0.0,2,42,0.4498,0.4384,0.4618,260,333,303,200
encoder_crf,zh,2,0.0,0,42,0.5411,0.5646,0.5195,319,246,295,200
encoder_crf,zh,2,0.2,2,42,0.7029,0.6511,0.7637,433,232,134,200
encoder_crf,zh,2,0.2,0,42,0.8476,0.8310,0.8648,531,108,83,200
encoder_crf,zh,2,0.4,2,42,0.5381,0.5120,0.5671,321,306,245,200
encoder_crf,zh,2,0.4,0,42,0.6091,0.6091,0.6091,374,240,240,200
encoder_crf,zh,2,0.6,2,42,0.7919,0.7424,0.8484,487,169,87,200
encoder_crf,zh,2,0.6,0,42,0.8648,0.8402,0.8909,547,104,67,200
encoder_crf,zh,2,0.8,2,42,0.6203,0.5940,0.6490,379,259,205,200
encoder_crf,zh,2,0.8,0,42,0.6608,0.6509,0.6710,412,221,202,200
encoder_crf,zh,2,1.0,2,42,0.7083,0.6950,0.7222,442,194,170,200
encoder_crf,zh,2,1.0,0,42,0.7153,0.7046,0.7264,446,187,168,200
encoder_crf,zh,3,0.0,3,42,0.4558,0.4558,0.4558,258,308,308,200
encoder_crf,zh,3,0.0,0,42,0.5412,0.5852,0.5033,309,219,305,200
encoder_crf,zh,3,0.2,3,42,0.4803,0.4642,0.4974,292,337,295,200
encoder_crf,zh,3,0.2,0,42,0.5414,0.5557,0.5277,324,259,290,200
encoder_crf,zh,3,0.4,3,42,0.5159,0.4938,0.5400,317,325,270,200
encoder_crf,zh,3,0.4,0,42,0.5818,0.5790,0.5847,359,261,255,200
encoder_crf,zh,3,0.6,3,42,0.5726,0.5577,0.5883,353,280,247,200
encoder_crf,zh,3,0.6,0,42,0.6253,0.6268,0.6238,383,228,231,200
encoder_crf,zh,3,0.8,3,42,0.5607,0.5453,0.5771,337,281,247,200
encoder_crf,zh,3,0.8,0,42,0.5918,0.5875,0.5961,366,257,248,200
encoder_crf,zh,3,1.0,3,42,0.8781,0.8556,0.9018,551,93,60,200
encoder_crf,zh,3,1.0,0,42,0.8773,0.8536,0.9023,554,95,60,200
encoder_crf,zh,4,0.0,4,42,0.6678,0.6185,0.7256,394,243,149,200
encoder_crf,zh,4,0.0,0,42,0.8280,0.8175,0.8388,515,115,99,200
encoder_crf,zh,4,0.2,4,42,0.6993,0.6492,0.7576,422,228,135,200
encoder_crf,zh,4,0.2,0,42,0.8435,0.8276,0.8599,528,110,86,200
encoder_crf,zh,4,0.4,4,42,0.5141,0.4959,0.5337,301,306,263,200
encoder_crf,zh,4,0.4,0,42,0.5738,0.5742,0.5733,352,261,262,200
encoder_crf,zh,4,0.6,4,42,0.5273,0.5107,0.5450,309,296,258,200
encoder_crf,zh,4,0.6,0,42,0.5862,0.5829,0.5896,362,259,252,200
encoder_crf,zh,4,0.8,4,42,0.5797,0.5589,0.6021,351,277,232,200
encoder_crf,zh,4,0.8,0,42,0.6148,0.6060,0.6238,383,249,231,200
encoder_crf,zh,4,1.0,4,42,0.6481,0.6356,0.6611,396,227,203,200
encoder_crf,zh,4,1.0,0,42,0.6529,0.6372,0.6694,411,234,203,200
encoder_crf,zh,5,0.0,5,42,0.4340,0.4276,0.4406,245,328,311,200
encoder_crf,zh,5,0.0,0,42,0.5465,0.5745,0.5212,320,237,294,200
encoder_crf,zh,5,0.2,5,42,0.4696,0.4655,0.4739,263,302,292,200
encoder_crf,zh,5,0.2,0,42,0.5659,0.5805,0.5521,339,245,275,200
encoder_crf,zh,5,0.4,5,42,0.5157,0.5000,0.5324,304,304,267,200
encoder_crf,zh,5,0.4,0,42,0.5987,0.5997,0.5977,367,245,247,200
